City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
335,Ravar,31.27,56.81,75.36,16,0,8.21,IR,clear sky
336,Tura,25.52,90.22,74.3,96,78,4.41,IN,broken clouds
337,Marsa Matruh,31.35,27.25,82.4,65,0,6.93,EG,clear sky
338,Komsomolskiy,40.43,71.72,69.8,60,0,2.24,UZ,clear sky
339,Santa Flavia,38.09,13.54,91.0,61,0,8.01,IT,clear sky
340,Auki,-8.77,160.7,77.72,84,100,4.12,SB,overcast clouds
341,Te Anau,-45.42,167.72,38.39,84,43,4.74,NZ,scattered clouds
342,Asau,46.43,26.4,80.6,36,73,9.17,RO,broken clouds
343,Santa Maria,-29.68,-53.81,64.4,93,40,4.7,BR,scattered clouds
344,Saint-Georges,12.06,-61.75,89.6,66,20,16.11,GD,few clouds
345,College Station,30.63,-96.33,95.0,59,1,16.11,US,clear sky
346,Faanui,-16.48,-151.75,76.33,80,29,21.65,PF,scattered clouds
347,Monticello,45.31,-93.79,73.4,73,90,9.35,US,overcast clouds
348,Acajutla,13.59,-89.83,79.0,94,40,3.36,SV,scattered clouds
349,Roura,4.73,-52.33,86.0,66,46,6.93,GF,thunderstorm
350,San Carlos De Bariloche,-41.15,-71.31,37.4,69,75,17.22,AR,broken clouds
351,Santa Elena,-2.23,-80.85,73.4,78,75,4.7,EC,broken clouds
352,Gat,31.61,34.76,84.0,32,0,4.0,IL,clear sky
353,Valparaiso,-33.04,-71.63,53.6,66,75,8.05,CL,broken clouds
354,Pingliang,35.54,106.69,67.93,87,16,5.84,CN,few clouds
355,Kizhinga,51.85,109.91,54.72,95,100,3.33,RU,overcast clouds
356,Chicama,-7.84,-79.15,73.69,53,17,10.94,PE,few clouds
357,Gouyave,12.16,-61.73,89.6,66,20,16.11,GD,few clouds
358,Berlevag,70.86,29.09,48.2,66,40,14.99,NO,scattered clouds
359,Albanel,48.88,-72.45,60.8,63,40,12.75,CA,scattered clouds
360,Kjollefjord,70.95,27.35,46.4,75,75,11.41,NO,broken clouds
361,Ati,13.22,18.34,83.73,65,55,7.83,TD,broken clouds
